timetable_id,stop_id,stop_sequence,stop_name,connected_routes
22,781718,1,Newark,PATH/Newark - World Trade Center
22,781720,2,Harrison,PATH/Newark - World Trade Center
22,781722,3,Journal Square,PATH/Newark - World Trade Center
22,781726,4,Grove Street,"PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken), PATH/Journal Square - Hoboken, PATH/Journal Square - World Trade Center (via Hoboken), PATH/Newark - World Trade Center"
22,781730,5,Exchange Place,"PATH/Hoboken - World Trade Center, PATH/Journal Square - World Trade Center (via Hoboken), PATH/Newark - World Trade Center"
22,794724,6,World Trade Center,PATH/Newark - World Trade Center
23,2324934,1,"Terminal C – Lower Level, P4","/Purple Route, /Red Route"
23,2324941,2,Manager's Parking Lot,/Purple Route
23,2324933,3,Terminal B – Upper Level,"/Blue Route, /Purple Route"
23,2324936,4,"Hourly Parking, Cell Phone Lot (P5)","/Purple Route, /Red Route"
23,2324935,5,"Terminal D - Lower Level - Stop 1, P5","/Purple Route, /Red Route"
23,2324943,6,"Terminal D - Lower Level - Stop 2, P4","/Purple Route, /Red Route"
23,2324934,7,"Terminal C – Lower Level, P4","/Purple Route, /Red Route"
24,2324934,1,"Terminal C – Lower Level, P4","/Purple Route, /Red Route"
24,2324941,2,Manager's Parking Lot,/Purple Route
24,2324933,3,Terminal B – Upper Level,"/Blue Route, /Purple Route"
24,2324936,4,"Hourly Parking, Cell Phone Lot (P5)","/Purple Route, /Red Route"
24,2324935,5,"Terminal D - Lower Level - Stop 1, P5","/Purple Route, /Red Route"
24,2324943,6,"Terminal D - Lower Level - Stop 2, P4","/Purple Route, /Red Route"
24,2324934,7,"Terminal C – Lower Level, P4","/Purple Route, /Red Route"
25,2324934,1,"Terminal C – Lower Level, P4","/Purple Route, /Red Route"
25,2324941,2,Manager's Parking Lot,/Purple Route
25,2324933,3,Terminal B – Upper Level,"/Blue Route, /Purple Route"
25,2324936,4,"Hourly Parking, Cell Phone Lot (P5)","/Purple Route, /Red Route"
25,2324935,5,"Terminal D - Lower Level - Stop 1, P5","/Purple Route, /Red Route"
25,2324943,6,"Terminal D - Lower Level - Stop 2, P4","/Purple Route, /Red Route"
25,2324934,7,"Terminal C – Lower Level, P4","/Purple Route, /Red Route"
26,2324935,1,"Terminal D - Lower Level - Stop 1, P5","/Purple Route, /Red Route"
26,2324943,2,"Terminal D - Lower Level - Stop 2, P4","/Purple Route, /Red Route"
26,2324934,3,"Terminal C – Lower Level, P4","/Purple Route, /Red Route"
26,2324942,4,"Terminal A, P6, Rental Car Pick-Up","/Blue Route, /Red Route"
26,2324937,5,Long Term Parking (P10),"/Blue Route, /Red Route"
26,2324931,6,"Terminal A, P6","/Blue Route, /Red Route"
26,2324945,7,Hangar 7 South,"/Blue Route, /Red Route"
26,2324936,8,"Hourly Parking, Cell Phone Lot (P5)","/Purple Route, /Red Route"
26,2324935,9,"Terminal D - Lower Level - Stop 1, P5","/Purple Route, /Red Route"
27,2324935,1,"Terminal D - Lower Level - Stop 1, P5","/Purple Route, /Red Route"
27,2324943,2,"Terminal D - Lower Level - Stop 2, P4","/Purple Route, /Red Route"
27,2324934,3,"Terminal C – Lower Level, P4","/Purple Route, /Red Route"
27,2324942,4,"Terminal A, P6, Rental Car Pick-Up","/Blue Route, /Red Route"
27,2324937,5,Long Term Parking (P10),"/Blue Route, /Red Route"
27,2324931,6,"Terminal A, P6","/Blue Route, /Red Route"
27,2324945,7,Hangar 7 South,"/Blue Route, /Red Route"
27,2324936,8,"Hourly Parking, Cell Phone Lot (P5)","/Purple Route, /Red Route"
27,2324935,9,"Terminal D - Lower Level - Stop 1, P5","/Purple Route, /Red Route"
28,2324935,1,"Terminal D - Lower Level - Stop 1, P5","/Purple Route, /Red Route"
28,2324943,2,"Terminal D - Lower Level - Stop 2, P4","/Purple Route, /Red Route"
28,2324934,3,"Terminal C – Lower Level, P4","/Purple Route, /Red Route"
28,2324942,4,"Terminal A, P6, Rental Car Pick-Up","/Blue Route, /Red Route"
28,2324937,5,Long Term Parking (P10),"/Blue Route, /Red Route"
28,2324931,6,"Terminal A, P6","/Blue Route, /Red Route"
28,2324945,7,Hangar 7 South,"/Blue Route, /Red Route"
28,2324936,8,"Hourly Parking, Cell Phone Lot (P5)","/Purple Route, /Red Route"
28,2324935,9,"Terminal D - Lower Level - Stop 1, P5","/Purple Route, /Red Route"
