latitude,longitude,hour,minute
40.761398,-73.98996,11,7
40.788631,-73.977287,11,3
40.772091,-73.959023,11,5
40.806328,-73.964081,11,3
40.755444,-73.985924,11,1
40.789726,-73.975403,11,7
0,0,11,3
40.782059,-73.98111,10,50
40.750149,-73.991394,10,57
40.756611,-73.972687,11,6
40.796379,-73.972542,10,53
40.778011,-73.981934,4,50
40.726532,-73.977211,4,45
40.81163,-73.942551,4,44
40.744396,-73.996239,4,48
40.712608,-74.009232,4,44
40.721542,-73.988602,4,36
40.722584,-73.99308,4,36
40.76926,-73.967293,11,6
40.755928,-73.989555,11,3
40.748001,-73.973923,11,1
40.757011,-73.989891,11,7
40.759426,-73.99556,11,3
40.76675,-73.96933,11,1
40.748272,-74.005486,10,48
40.762165,-73.960342,10,54
40.717007,-74.000824,10,57
40.771362,-73.979477,11,5
40.746723,-73.979454,11,6
40.760517,-74.002838,11,0
40.753433,-73.981964,10,55
40.773598,-73.957771,11,6
40.766548,-73.990486,10,57
40.732716,-73.987717,11,7
40.762516,-73.96991,11,10
40.761589,-73.9869,4,3
40.759159,-73.979065,4,32
40.754742,-73.984657,4,46
40.763016,-73.81144,4,37
40.767372,-73.996155,4,46
40.716217,-73.95945,4,26
40.723026,-73.996849,4,52
40.759808,-73.995789,4,26
40.766514,-73.982323,4,42
40.754833,-73.976059,4,53
40.733692,-74.002045,4,45
40.723042,-73.991409,4,51
40.733948,-73.986343,4,42
40.714417,-73.999664,4,44
40.754944,-73.973671,4,45
40.747707,-73.98687,4,45
40.718884,-73.988747,4,48
40.726425,-73.986046,4,46
40.762421,-73.956955,4,41
40.743465,-74.006706,4,56
40.784378,-73.979439,4,53
40.729984,-74.00032,4,42
40.747471,-73.884262,4,36
40.761364,-73.999275,4,35
40.741066,-74.005051,4,38
40.644753,-73.782013,4,21
40.731049,-73.999603,4,34
40.717796,-73.957787,4,23
40.733299,-74.002892,4,23
40.723026,-73.996849,4,32
40.763863,-73.997604,4,32
40.759781,-73.980385,4,30
40.724136,-73.97879,4,30
0,0,4,38
40.755379,-73.992134,4,20
40.740509,-73.998123,4,19
40.761059,-73.96537,4,37
40.713718,-73.958122,4,34
40.72271,-73.98806,4,38
40.723228,-73.979378,4,39
40.733517,-73.999336,4,31
40.727173,-74.000603,4,28
40.769199,-73.951912,4,32
40.75296,-73.995506,4,40
40.763599,-73.973518,4,38
40.743298,-73.989052,4,44
40.756233,-73.967598,4,42
40.738152,-74.006699,4,22
40.721088,-73.983963,4,36
40.764576,-73.983032,4,29
40.782269,-73.9515,11,3
40.768665,-73.967995,11,13
40.792538,-73.964134,11,4
40.7491,-73.975731,11,1
40.746269,-73.974457,4,38
40.762878,-73.971977,4,24
40.743233,-73.983803,4,26
40.765896,-73.978409,4,36
40.739502,-74.005836,4,27
40.729885,-73.992126,4,34
40.767231,-73.995995,4,19
40.758862,-73.986946,4,44
40.747707,-73.893707,4,36
40.748459,-73.988068,4,36
40.767326,-73.929779,4,30
40.73011,-74.000381,4,32
40.761326,-73.963936,4,45
40.714073,-74.009758,4,18
40.732853,-74.000153,4,51
40.691673,-73.987244,4,45
40.724197,-73.987808,4,29
40.740471,-73.899117,4,41
40.719196,-73.990067,4,46
40.723694,-73.98526,4,43
40.717991,-73.990875,11,3
40.763454,-73.963066,10,50
40.763424,-73.981895,11,7
40.786316,-73.972404,11,12
40.765224,-73.963905,11,4
40.732967,-73.990067,11,6
40.746597,-73.984138,11,8
40.773907,-73.957672,11,4
40.757042,-73.972054,11,3
40.753635,-73.966454,11,10
40.774021,-73.873016,10,51
40.746586,-73.97229,11,5
40.731556,-74.006737,11,4
40.769321,-73.951889,11,10
40.769131,-73.86277,11,1
40.764526,-73.998856,11,2
40.769367,-73.95195,11,6
40.743374,-73.919418,10,37
40.746399,-73.991364,11,12
40.74892,-73.974388,11,2
