Borough,Block,Lot,Population
MN,42,31,11409.225102728253
MN,42,36,1964.3851883393982
MN,43,1,6983.826560225047
MN,43,2,19381.600319128345
MN,43,5,2799.5358786879306
MN,43,6,788.2790783654234
MN,44,1,32368.58632776276
MN,44,7501,21.19480975789139
MN,46,1,6360.574004077053
MN,46,3,10123.949832024897
MN,46,9,16596.17100104991
MN,47,7501,15760.493612124206
MN,48,1,19289.570063453357
MN,49,1,11.971227723237293
MN,49,2,9295.72316906202
MN,50,1,9841.502458275889
MN,51,1,8890.106652626882
MN,51,7,1056.8461699294264
MN,51,13,4269.596978797504
MN,51,14,14.868454652505271
MN,51,15,2252.197262969745
MN,52,1,2670.483410879804
MN,52,8,91.25073728998913
MN,52,10,6.177001755967075
MN,52,15,2638.57898681188
MN,52,21,7.0105795473208
MN,52,22,6.80819253180392
MN,52,30,1629.78190487457
MN,52,7501,73.14284772925166
MN,52,7502,5.91167303181369
MN,53,2,67.2769987939007
MN,53,3,63.74513490321621
MN,53,4,783.5628665334322
MN,53,6,3.2847751031254555
MN,53,33,3.1728422411550796
MN,53,35,1488.6016326177423
MN,53,36,4.464076729270967
MN,53,37,30.008337957229745
MN,53,38,38.00073678650923
MN,53,39,1194.0476572952932
MN,53,40,129.09665730484744
MN,53,41,6.80191196483675
MN,53,7501,4.8745126449614515
MN,53,7502,35.71415968069321
MN,54,1,273.93187698303933
MN,54,40,3.930125492029185
MN,55,14,7.536270429084285
MN,55,16,172.54873044185592
MN,55,7501,9459.26499866203
MN,56,1,116.8629886868043
MN,56,4,8.641141250156299
MN,58,1,49831.347434831056
MN,62,7501,26632.939451396087
MN,63,1,12812.839340528873
MN,63,3,27673.561791644508
MN,63,6,29190.063183364116
MN,63,12,2186.4255657252907
MN,63,13,5.783753077009991
MN,63,16,3.154127258718257
MN,63,17,391.2666440696664
MN,63,18,797.3910068790877
MN,63,19,888.2953503941379
MN,63,20,681.0380483302253
MN,63,21,6792.076825222028
MN,64,1,33.897318224697536
MN,64,2,1078.184280819188
MN,64,4,1332.2014109046754
MN,64,5,15.502277269212316
MN,64,7,577.9725801911047
MN,64,8,6.870640293025328
MN,64,9,991.5609451736241
MN,64,12,8456.023895580869
MN,64,15,3540.1590269482895
MN,64,23,1.6400898172054614
MN,64,24,2.278714087129541
MN,64,25,1.8989466659688092
MN,64,7501,2.6651079914858244
MN,64,7502,155.108733693786
MN,65,2,407.9040701941478
MN,65,4,12078.685229566026
MN,65,6,4.207118611795246
MN,65,7,3273.4539699671213
MN,65,10,6.24182778374742
MN,65,16,734.5702061093805
MN,65,17,8.743899010682261
MN,65,20,2.4035382869124158
MN,65,22,4.445755162666583
MN,65,24,28.812283012593884
MN,65,7501,3.835953638005911
MN,65,7502,239.54293912655953
MN,66,1,11999.004723151633
MN,67,1,19744.724011455677
MN,67,23,11048.282191311342
MN,67,30,152.85468099367688
MN,68,7,5570.438107438077
MN,68,11,4720.672747429184
MN,68,16,75.28316304811328
MN,68,28,47.80178078814257
MN,68,36,8258.01204634395
MN,68,7501,8.885586491328786
MN,68,7502,11.187023435392586
MN,69,1,75.21930664360085
MN,69,6,13.177953041792803
MN,69,18,18.387066577678187
MN,69,30,56.19459030402397
MN,69,32,10.105843764608466
MN,69,50,69.46303393023608
MN,69,51,2120.1919071889065
MN,69,53,1128.7992371341022
MN,69,54,14.80899462553742
MN,69,7502,146.21676915021126
MN,70,20,2459.0368320727894
MN,70,32,13.260357506021167
MN,70,43,11089.850807979112
MN,70,7501,5519.590985957297
MN,71,1,2.561469186992921
MN,71,7501,9650.920457635479
MN,72,2,4.450903111089398
MN,72,7,54.96496200957767
MN,72,12,37.615932119617
MN,72,13,558.5080792931963
MN,72,14,453.2680679756892
MN,72,25,896.359168173388
MN,72,27,5.3434417186950895
MN,72,31,1328.4884969591337
