NYCHA PROPERTY DIRECTORY,,,,,,,BRONX
BLOCK and LOT GUIDE,,,,,,,
BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
2372,,11162 WASHINGTON AVENUE,10456,1162-1176 WASHINGTON AVENUE,CLAREMONT CONSOLIDATED,,3COMMUNITY OPERATIONS SPACE
,,,,,,,(VACANT)/ BOILER
2372,,11174 WASHINGTON AVENUE,10456,1162-1176 WASHINGTON AVENUE,CLAREMONT CONSOLIDATED,3,
2372,,11176 WASHINGTON AVENUE,10456,1162-1176 WASHINGTON AVENUE,CLAREMONT CONSOLIDATED,3,
2390,24450 EAST 169TH STREET,,10456,MORRISANIA,WEBSTER,,3PLASTERERS SHOP
2390,243566 PARK AVENUE,,10456,MORRISANIA,WEBSTER,3,
2390,241285 WASHINGTON AVENUE,,10456,MORRISANIA,WEBSTER,,3GLASS SHOP
2390,241287 WASHINGTON AVENUE,,10456,MORRISANIA,WEBSTER,3,
2395,,1421 EAST 168TH STREET,10456,WEBSTER,WEBSTER,,3BOILER
2395,,1423 EAST 168TH STREET,10456,WEBSTER,WEBSTER,3,
2395,,1401 EAST 168TH STREET,10456,WEBSTER,WEBSTER,,3CHILD HEALTH CLINIC
2395,,1400 EAST 169TH STREET,10456,WEBSTER,WEBSTER,,3DEVELOPMENT MANAGEMENT
,,,,,,,OFFICE
2395,,1410 EAST 169TH STREET,10456,WEBSTER,WEBSTER,3,
2395,,1420 EAST 169TH STREET,10456,WEBSTER,WEBSTER,,3CONTRACTOR PAINT SHOP/ NYCHA
,,,,,,,PAINT SHOP
2395,,1422 EAST 169TH STREET,10456,WEBSTER,WEBSTER,3,
NOTE:,CD = Community District,,Block = Tax Block,Lot = Tax Lot,,,313
BRONX,,,,,,,
NYCHA PROPERTY DIRECTORY,,,,,,,BRONX
BLOCK and LOT GUIDE,,,,,,,
BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
2395,,1410GAR EAST 169TH STREET,10456,WEBSTER,WEBSTER,,3GARAGE
2395,,11270 WEBSTER AVENUE,10456,WEBSTER,WEBSTER,3,
2395,,11272 WEBSTER AVENUE,10456,WEBSTER,WEBSTER,,3RECORDS STORAGE ROOM
2395,,11250 WEBSTER AVENUE,10456,WEBSTER,WEBSTER,,3ELEVATOR PARTS STORAGE I
2395,,11260 WEBSTER AVENUE,10456,WEBSTER,WEBSTER,,3CARPENTERS SHOP/ GLAZIERS SHOP
2395,,11262 WEBSTER AVENUE,10456,WEBSTER,WEBSTER,,3ELEVATOR PARTS STORAGE II
2395,,11230 WEBSTER AVENUE,10456,WEBSTER,WEBSTER,,3PLUMBING SUPPLY STORAGE
2395,,11232 WEBSTER AVENUE,10456,WEBSTER,WEBSTER,,3BRICKLAYERS SHOP
2395,,11240 WEBSTER AVENUE,10456,WEBSTER,WEBSTER,,3DAY CARE CENTER
2398,14372 EAST 152ND STREET,,10455,EAST 152ND STREET-COURTLANDT,MELROSE,,1SENIOR CENTER
,,,AVENUE,,,,
2399,10370 EAST 153RD STREET,,10455,EAST 152ND STREET-COURTLANDT,MELROSE,,1BOILER
,,,AVENUE,,,,
2402,,9362 EAST 156TH STREET,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PARKING LOT
2402,,9364 EAST 156TH STREET,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PARKING LOT
2402,11366 EAST 156TH STREET,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PARKING LOT
2402,12368 EAST 156TH STREET,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PARKING LOT
2402,17389 EAST 155TH STREET,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PARKING LOT
2402,17391 EAST 155TH STREET,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PARKING LOT
2402,17393 EAST 155TH STREET,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PARKING LOT
2402,17395 EAST 155TH STREET,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PARKING LOT
2402,17380 EAST 156TH STREET,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PARKING LOT
2402,17382 EAST 156TH STREET,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PARKING LOT
2402,17386 EAST 156TH STREET,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PRECINCT HOUSE
2402,17388 EAST 156TH STREET,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PRECINCT HOUSE
2402,17390 EAST 156TH STREET,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PRECINCT HOUSE
2402,17737 MELROSE AVENUE,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PRECINCT HOUSE (PRIMARY
,,,,,,,ADDRESS)/ BOILER
2402,31379 EAST 155TH STREET,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PARKING LOT
2402,32377 EAST 155TH STREET,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PARKING LOT
2402,33375 EAST 155TH STREET,,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,,1PSA #7 PARKING LOT
