Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 07/17  10:00:00,1444.26879223,103.067451697,533.304996801,0.0,243.2593065,310.10971186,445.491745016,339.273227274,70.808374512,35.4101432294
 07/17  11:00:00,1439.37466379,103.902072041,526.025256452,0.0,243.2593065,310.10971186,440.244468812,333.976276129,70.808374512,35.4598181717
 07/17  12:00:00,1397.67511278,105.231059921,524.818713108,0.0,243.2593065,310.10971186,426.570488641,329.273162201,70.808374512,26.4889519279
 07/17  13:00:00,1422.96397012,106.610678979,514.766971872,0.0,243.2593065,302.612436532,411.933105598,319.82238339,56.6466996096,35.4640225986
 07/17  14:00:00,1423.38938462,108.221984004,513.557135025,0.0,243.2593065,302.612436532,388.243862079,310.357319576,42.4850247072,35.4015177954
 07/17  15:00:00,1426.15921297,111.00455166,514.064530154,0.0,243.2593065,302.612436532,376.320684305,293.150197568,56.6466996096,26.5237871269
 07/17  16:00:00,1429.95425341,113.835871431,508.338803851,0.0,243.2593065,310.10971186,390.110504799,278.735539989,84.9700494144,26.4049153957
 07/17  17:00:00,1425.93155524,115.918850565,501.735046355,0.0,243.2593065,310.10971186,372.984805724,270.559877007,84.9700494144,17.4548793025
 07/17  18:00:00,1173.25900696,96.4632693683,535.401225049,0.0,166.938926447,199.110933808,363.805910719,261.427297756,84.9700494144,17.4085635491
 07/17  19:00:00,1177.98744969,96.4632693683,547.277663152,0.0,166.938926447,191.61365848,347.109109586,281.747239324,56.6466996096,8.71517065184
 07/17  20:00:00,1052.14800691,96.4632693683,543.458313206,0.0,100.150657288,124.558693486,414.802437269,340.744945851,56.6466996096,17.4107918082
 07/17  21:00:00,1009.6165702,96.4632693683,535.857826,0.0,100.150657288,124.558693486,405.846096675,354.665340275,42.4850247072,8.69573169266
 07/17  22:00:00,940.84527202,96.4632693683,534.515895954,0.0,46.0930336215,124.558693486,421.091530267,375.400885267,28.3233498048,17.3672951948
 07/17  23:00:00,955.483602173,96.4632693683,549.374770245,0.0,46.0930336215,124.558693486,410.293181782,387.437755336,14.1616749024,8.69375154324
 07/17  24:00:00,947.997920788,96.4632693683,554.783855139,0.0,46.0930336215,113.312780494,410.062257691,395.703762306,5.66466996096,8.69382542386
