Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 05/20  04:00:00,163.872701276,32.4946474645,56.584995837,0.0,12.7620426787,28.1191506574,135.81563889,23.6124967893,3.33212,108.871022101
 05/20  05:00:00,148.897578853,31.6961395499,39.7041890589,0.0,12.7620426787,28.1191506574,177.378810586,23.785193973,8.3303,145.263316613
 05/20  06:00:00,300.954390294,34.8901712081,112.351426248,0.0,42.6918050922,54.3732441037,239.190023554,25.2515734055,16.6606,197.277850148
 05/20  07:00:00,344.228011928,35.7716109372,112.962925495,0.0,42.6918050922,86.1019271793,386.076837694,25.368663385,24.9909,335.717274309
 05/20  08:00:00,410.642044273,35.7239170534,138.115224739,0.0,57.6566862989,112.030105488,539.101132284,23.1341132323,33.3212,482.645819052
 05/20  09:00:00,354.695101708,36.2506363063,128.753776245,0.0,57.6566862989,83.6599452969,437.52004557,24.6282960413,66.8089,346.082849529
 05/20  10:00:00,274.483538243,36.3386815679,102.730662051,0.0,42.6918050922,68.9656133826,371.272444924,26.9961609028,83.4695,260.806784021
 05/20  11:00:00,254.259233187,36.3873691696,90.8204525041,0.0,34.9340096728,67.7198543238,324.477186397,29.4059138454,83.4695,211.601772552
 05/20  12:00:00,245.966088024,36.4238185009,83.3151638297,0.0,34.9340096728,67.7198543238,275.945402094,35.8480947576,83.4695,156.627807337
 05/20  13:00:00,234.257781634,36.456105604,81.3245071436,0.0,34.9340096728,57.9733543238,270.98007534,41.7588274798,75.1392,154.08204786
 05/20  14:00:00,233.639498398,36.4842988931,80.7188324948,0.0,34.9340096728,57.9733543238,264.801999438,44.1152531231,66.8089,153.877846315
 05/20  15:00:00,231.537521545,36.5089119929,78.7082052631,0.0,34.9340096728,57.9733543238,275.352764143,46.3346888959,75.1392,153.878875247
 05/20  16:00:00,259.796769447,36.2142862927,78.0687909245,0.0,34.9340096728,62.9068543238,249.942288572,42.4793316183,91.7998,115.663156954
 05/20  17:00:00,293.673110672,35.6997764221,84.8384076139,0.0,34.9340096728,72.2186844194,237.051791153,41.2691907002,49.9818,145.800800453
 05/20  18:00:00,375.377167266,35.7694120355,100.084639716,0.0,87.0357390804,86.2600435998,258.435911443,37.0314531157,49.9818,171.422658327
 05/20  19:00:00,381.910877831,35.6920916933,111.946992781,0.0,102.000620287,77.6748002752,305.434071319,38.308925599,33.3212,233.80394572
 05/20  20:00:00,419.932964015,35.6886791226,121.877316808,0.0,102.000620287,88.9820225341,301.299041398,41.8260448169,33.3212,226.151796582
 05/20  21:00:00,412.133776928,35.6886791226,123.750275571,0.0,102.000620287,91.6425454185,295.68331584,42.33308749,24.9909,228.35932835
 05/20  22:00:00,353.99058911,35.6886791226,118.817213247,0.0,87.0357390804,65.871452062,394.927654694,44.7055553254,16.6606,333.561499369
 05/20  23:00:00,257.852666172,35.6886791226,96.3825668981,0.0,42.6918050922,48.4199368926,252.431764489,47.7794804758,8.3303,196.321984013
 05/20  24:00:00,138.075888194,30.8976316354,23.3425676897,0.0,27.7269238854,30.610668775,161.43904342,43.2421039543,3.33212,114.864819466
 05/21  01:00:00,160.126858544,30.8976316354,36.1928503903,0.0,34.4311606118,33.1021868926,127.667455509,37.1793035802,3.33212,87.1560319291
 05/21  02:00:00,148.427736728,30.8976316354,42.0102844137,0.0,19.466279405,30.610668775,120.897313939,30.4187694224,3.33212,87.146424517
 05/21  03:00:00,151.625008076,30.8976316354,45.2198115824,0.0,19.466279405,30.610668775,115.192859488,27.8535433757,3.33212,84.0071961124
 05/21  04:00:00,162.235694655,30.8976316354,49.241297079,0.0,19.466279405,30.610668775,140.998515894,25.5949658901,3.33212,112.071430004
 05/21  05:00:00,208.312333856,33.293155379,86.2908183044,0.0,19.466279405,30.610668775,177.28085349,23.6070408457,8.3303,145.343512644
 05/21  06:00:00,276.539708091,33.9319617106,90.1678307379,0.0,42.6918050922,54.3732441037,233.822333303,19.5234766038,16.6606,197.638256699
 05/21  07:00:00,352.88285779,35.9503354087,111.832366268,0.0,49.3960418185,88.5934452969,378.64081254,18.567962912,24.9909,335.081949628
 05/21  08:00:00,410.834415528,35.7295717429,138.098200162,0.0,57.6566862989,112.030105488,525.762729917,11.3965488565,33.3212,481.04498106
 05/21  09:00:00,361.8213686,36.2559257257,144.324820573,0.0,50.9524495726,81.1684271793,413.349580853,5.08266728982,66.8089,341.458013563
 05/21  10:00:00,316.742500618,36.3886983542,144.0087773,0.0,42.6918050922,68.9656133826,352.566348156,4.16419909549,83.4695,264.932649061
 05/21  11:00:00,315.586357579,36.4342952671,146.391470383,0.0,38.286128036,68.9656133826,293.159321215,2.92795239498,83.4695,206.76186882
 05/21  12:00:00,313.706366604,36.4822354739,145.187399229,0.0,38.286128036,68.9656133826,240.040214961,2.76958530845,83.4695,153.801129653
 05/21  13:00:00,294.502738579,36.4573273015,144.836035766,0.0,31.5818913096,56.727595265,232.629311689,3.70235672401,75.1392,153.787754965
 05/21  14:00:00,292.29315412,36.4866198426,142.063482487,0.0,31.5818913096,56.727595265,223.905743041,3.71012868301,66.8089,153.386714358
 05/21  15:00:00,291.651908069,36.5139599737,140.690884841,0.0,31.5818913096,56.727595265,225.704235672,3.84697287953,75.1392,146.718062793
 05/21  16:00:00,321.927111898,36.2430868395,141.726553909,0.0,31.5818913096,61.661095265,211.24548882,3.94811537407,91.7998,115.497573445
 05/21  17:00:00,349.040174888,35.7762186622,141.710763749,0.0,31.5818913096,70.9729253606,202.247473144,6.56120696746,49.9818,145.704466177
 05/21  18:00:00,408.718453785,35.8160268143,139.876984155,0.0,80.3315023541,83.7685254822,226.899524133,5.85204787383,49.9818,171.065676259
 05/21  19:00:00,412.040187069,35.7542346796,139.607107312,0.0,102.000620287,77.6748002752,267.942817895,5.08861257113,33.3212,229.533005324
 05/21  20:00:00,449.0083123,35.7240980196,139.655366375,0.0,108.704857014,91.4735406516,263.043256495,5.02854792633,33.3212,224.693508568
 05/21  21:00:00,420.723346445,35.8516883526,139.531743132,0.0,95.2963835608,89.1510273009,261.424564049,6.26473904111,24.9909,230.168925008
 05/21  22:00:00,368.023169911,35.8294134156,140.195268944,0.0,80.3315023541,63.3799339444,357.974295765,8.62190485295,16.6606,332.691790912
 05/21  23:00:00,305.835298812,35.7838643011,142.65580912,0.0,42.6918050922,48.4199368926,209.646342941,11.2234382106,8.3303,190.092604731
 05/21  24:00:00,207.861435172,33.293155379,78.8640753511,0.0,34.4311606118,33.1021868926,120.721806477,2.01055483186,3.33212,115.379131645
 05/22  01:00:00,131.70492117,30.8976316354,26.6686243456,0.0,19.418418834,29.3649097162,94.6411993577,4.28417354863,3.33212,87.024905809
 05/22  02:00:00,184.135547823,33.293155379,81.6344950475,0.0,12.7620426787,28.1191506574,92.8112992573,8.68629646287,3.33212,80.7928827944
 05/22  03:00:00,135.289797673,31.6961395499,36.3747021271,0.0,12.7620426787,28.1191506574,100.898328915,10.5473091767,3.33212,87.0188997381
 05/22  04:00:00,163.924002603,32.4946474645,56.7465168471,0.0,12.7620426787,28.1191506574,122.454017672,10.3331668681,3.33212,108.788730804
 05/22  05:00:00,192.902340123,32.8939014217,65.6030851248,0.0,25.5240853573,30.610668775,214.801212293,10.3636153236,8.3303,196.107296969
 05/22  06:00:00,328.649978316,34.7304696251,107.722516098,0.0,51.0481707146,78.1489452969,356.131390004,5.00549557184,16.6606,334.465294432
 05/22  07:00:00,416.694840619,35.7458436261,138.028808128,0.0,64.3609230253,109.708623606,476.384477987,7.78225274615,24.9909,443.611325241
 05/22  08:00:00,375.090609829,35.7219166113,138.592428382,0.0,51.0481707146,80.7689615957,378.361541006,3.6640074756,33.3212,341.376333531
 05/22  09:00:00,346.347650754,36.2476680982,137.033639835,0.0,51.0481707146,71.0224615957,331.884528604,1.35303633393,66.8089,263.72259227
 05/22  10:00:00,297.636183602,36.3380926077,136.74890112,0.0,32.1804615127,65.7244621605,293.865814902,4.37516019518,83.4695,206.021154707
 05/22  11:00:00,297.747817768,36.4131461572,135.687876662,0.0,32.1804615127,65.7244621605,242.238960079,4.87175116624,83.4695,153.897708912
